code;name;dk;x;y;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Ράμπες;Ράμπες;Ράμπες;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων
126;ΑΓΙΟΣ ΑΝΤΩΝΗΣ;5η ΔΚ;23743;38025;0.02;0.12;0.75;0.11;0.19;0.81;0.93;0.06;0.01;1.00;0.00;0.01;0.58;0.41;0.21;0.61;0.17;0.65;0.29;0.05;0.96;0.03;0.01;0.39;0.09;0.00;0.01;0.00;0.65;0.00;0.43;0.05;0.21;0.00;0.32;0.22;0.03;4.10;4.59;1.98;6.89;0.03;0.00;0.65;0.32;0.00;0.02;0.48;0.12;0.02;0.18;0.04;0.12;0.00;0.00;0.00;0.03;0.97;1.00;0.94;0.01;0.04;0.88;0.03;0.09;0.14;0.00;0.86;0.00;0.14;0.00;0.86;0.20;0.80;1.00;0.00;1.00;0.00;0.00;0.25;0.75
144;ΑΓΙΟΣ ΑΡΤΕΜΙΟΣ;2η ΔΚ;23742;37961;0.03;0.86;0.10;0.01;0.27;0.73;0.74;0.08;0.17;0.99;0.01;0.01;0.76;0.22;0.62;0.16;0.20;0.76;0.17;0.06;0.87;0.13;0.01;0.45;0.44;0.01;0.00;0.00;0.33;0.00;0.67;0.05;0.14;0.01;0.23;0.56;0.76;9.24;4.05;18.39;7.43;0.04;0.00;0.27;0.69;0.00;0.00;0.39;0.28;0.02;0.17;0.00;0.02;0.00;0.00;0.07;0.38;0.62;0.98;0.78;0.02;0.05;0.56;0.08;0.22;0.33;0.17;0.50;0.00;0.20;0.00;0.80;0.17;0.83;0.75;0.25;0.75;0.25;0.13;0.27;0.60
140;ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ;4η ΔΚ;23711;37988;0.01;0.16;0.80;0.03;0.26;0.74;0.83;0.12;0.06;0.99;0.01;0.01;0.90;0.09;0.80;0.08;0.11;0.75;0.17;0.07;0.99;0.00;0.01;0.43;0.11;0.01;0.03;0.05;0.41;0.03;0.85;0.15;0.15;0.03;0.37;0.59;1.49;2.56;2.80;5.44;10.18;0.06;0.00;0.53;0.42;0.00;0.00;0.48;0.21;0.04;0.15;0.02;0.03;0.00;0.01;0.01;1.00;0.00;0.69;0.93;0.04;0.02;0.92;0.07;0.01;0.45;0.00;0.55;0.00;0.45;0.00;0.55;0.08;0.92;1.00;0.00;1.00;0.00;0.25;0.50;0.25
90;ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΚΥΨΕΛΗΣ;6η ΔΚ;23735;37998;0.02;0.44;0.50;0.04;0.39;0.61;0.69;0.14;0.17;0.99;0.01;0.00;0.87;0.13;0.20;0.52;0.28;0.25;0.28;0.47;0.68;0.29;0.03;0.28;0.06;0.00;0.00;0.00;0.19;0.00;0.18;0.13;0.04;0.00;0.01;0.25;4.60;1.73;3.56;21.40;8.08;0.06;0.00;0.35;0.59;0.00;0.00;0.36;0.16;0.02;0.01;0.09;0.08;0.05;0.00;0.15;0.03;0.97;0.87;0.79;0.09;0.12;0.18;0.12;0.66;0.07;0.00;0.64;0.29;0.18;0.00;0.82;0.00;1.00;1.00;0.00;0.00;1.00;0.00;0.50;0.50
94;ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ Ι;5η ΔΚ;23.73;38018;0.11;0.16;0.67;0.06;0.36;0.64;0.78;0.19;0.04;0.98;0.02;0.00;0.42;0.58;0.05;0.49;0.46;0.29;0.51;0.20;0.98;0.00;0.02;0.33;0.01;0.00;0.00;0.00;0.36;0.01;0.30;0.15;0.05;0.04;0.17;0.00;0.00;2.08;4.99;13.06;6.33;0.04;0.00;0.46;0.50;0.00;0.00;0.26;0.31;0.00;0.08;0.19;0.05;0.00;0.00;0.07;0.08;0.92;0.90;0.90;0.05;0.05;0.47;0.10;0.23;0.00;0.21;0.79;0.00;0.00;0.33;0.67;0.00;1.00;0.75;0.25;0.75;0.25;0.23;0.31;0.46
125;ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ ΙΙ;5η ΔΚ;23727;38.02;0.06;0.07;0.73;0.13;0.26;0.73;0.90;0.06;0.03;0.98;0.01;0.07;0.44;0.48;0.07;0.40;0.44;0.38;0.32;0.22;0.97;0.02;0.00;0.41;0.00;0.00;0.00;0.00;0.33;0.00;0.35;0.06;0.07;0.01;0.07;0.04;0.00;6.39;5.23;9.32;6.01;0.07;0.00;0.55;0.38;0.00;0.02;0.36;0.21;0.00;0.10;0.20;0.03;0.00;0.00;0.00;0.10;0.90;0.96;0.94;0.02;0.03;0.71;0.10;0.14;0.14;0.00;0.86;0.00;0.15;0.15;0.69;0.20;0.80;0.71;0.29;0.50;0.50;0.20;0.80;0.00
51;ΑΓΙΟΣ ΘΩΜΑΣ;7η ΔΚ;23763;37983;0.11;0.21;0.55;0.12;0.40;0.60;0.81;0.15;0.04;0.98;0.02;0.03;0.45;0.52;0.28;0.36;0.33;0.47;0.26;0.25;0.80;0.15;0.05;0.10;0.16;0.04;0.04;0.00;0.48;0.01;0.12;0.34;0.13;0.04;0.45;0.17;5.02;9.18;4.20;12.44;8.13;0.04;0.00;0.32;0.63;0.00;0.00;0.49;0.13;0.01;0.02;0.28;0.00;0.02;0.00;0.00;0.11;0.89;0.79;0.82;0.09;0.08;0.76;0.16;0.08;0.23;0.31;0.46;0.00;0.21;0.14;0.64;0.08;0.92;0.17;0.83;0.40;0.60;0.00;0.80;0.20
12;ΑΓΙΟΣ ΙΩΑΝΝΗΣ;2η ΔΚ;23735;37958;0.02;0.37;0.51;0.09;0.48;0.51;0.74;0.17;0.08;0.99;0.01;0.03;0.64;0.33;0.46;0.21;0.29;0.63;0.17;0.16;0.92;0.07;0.01;0.14;0.09;0.01;0.01;0.00;0.64;0.00;0.10;0.14;0.21;0.00;0.13;0.32;4.51;3.71;2.58;18.50;8.49;0.06;0.01;0.36;0.57;0.00;0.00;0.40;0.16;0.00;0.06;0.09;0.02;0.06;0.00;0.13;0.10;0.90;0.44;0.82;0.05;0.08;0.64;0.04;0.26;0.57;0.00;0.43;0.00;0.67;0.33;0.00;0.43;0.57;1.00;0.00;1.00;0.00;0.38;0.25;0.38
84;ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ;4η ΔΚ;23716;37996;0.03;0.36;0.60;0.01;0.21;0.78;0.83;0.10;0.07;1.00;0.00;0.00;0.84;0.15;0.74;0.16;0.08;0.81;0.14;0.03;0.83;0.08;0.09;0.36;0.41;0.01;0.00;0.00;0.34;0.00;0.89;0.08;0.16;0.02;0.21;0.67;0.41;2.64;1.97;10.11;8.70;0.04;0.00;0.24;0.72;0.00;0.00;0.60;0.24;0.03;0.00;0.02;0.03;0.00;0.01;0.00;0.28;0.72;0.99;0.93;0.01;0.03;0.73;0.09;0.15;0.27;0.18;0.55;0.00;0.27;0.18;0.55;0.09;0.91;1.00;0.00;1.00;0.00;0.00;0.40;0.60
4;ΑΓΙΟΣ ΛΟΥΚΑΣ;5η ΔΚ;23737;38014;0.04;0.52;0.43;0.02;0.17;0.83;0.88;0.07;0.05;0.99;0.01;0.00;0.74;0.26;0.56;0.34;0.10;0.74;0.16;0.09;0.92;0.08;0.00;0.29;0.31;0.01;0.01;0.00;0.54;0.00;0.58;0.16;0.16;0.00;0.12;0.42;7.78;3.40;3.12;15.87;8.43;0.03;0.00;0.31;0.66;0.00;0.00;0.53;0.11;0.01;0.04;0.10;0.08;0.08;0.01;0.00;0.23;0.77;0.51;0.84;0.09;0.07;0.60;0.07;0.32;0.07;0.00;0.40;0.53;0.33;0.00;0.67;0.00;1.00;0.43;0.57;0.67;0.33;0.00;0.73;0.27
