code;name;dk;x;y;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Πλευρές Πεζοδρομίων/ΟΤ;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Δρόμοι;Ράμπες;Ράμπες;Ράμπες;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Διαβάσεις;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων;Στάσεις Λεωφορείων
118;ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ;6η ΔΚ;23.73;38009;0.02;0.55;0.40;0.03;0.18;0.82;0.83;0.10;0.08;0.99;0.01;0.00;0.85;0.15;0.61;0.21;0.18;0.75;0.05;0.20;0.99;0.00;0.00;0.10;0.37;0.00;0.00;0.00;0.31;0.00;0.51;0.31;0.14;0.00;0.09;0.55;0.61;2.24;2.41;16.94;7.51;0.07;0.00;0.16;0.76;0.00;0.00;0.52;0.30;0.01;0.00;0.03;0.02;0.04;0.00;0.00;0.19;0.81;0.96;0.98;0.00;0.00;0.66;0.07;0.22;0.00;0.67;0.33;0.00;0.00;0.18;0.82;0.14;0.86;0.60;0.40;0.33;0.67;0.25;0.00;0.75
92;ΑΓΙΟΣ ΠΑΝΤΕΛΕΗΜΩΝ;6η ΔΚ;23725;37998;0.02;0.50;0.43;0.05;0.32;0.68;0.73;0.08;0.19;1.00;0.00;0.00;0.86;0.13;0.56;0.35;0.08;0.79;0.16;0.04;0.82;0.14;0.03;0.33;0.45;0.01;0.05;0.00;0.30;0.00;0.67;0.08;0.17;0.01;0.23;0.51;1.36;9.02;3.77;10.83;9.40;0.06;0.00;0.16;0.77;0.00;0.00;0.50;0.25;0.02;0.10;0.00;0.00;0.06;0.01;0.00;0.50;0.50;0.99;0.84;0.05;0.09;0.58;0.14;0.25;0.17;0.33;0.50;0.00;0.14;0.00;0.86;0.00;1.00;0.50;0.50;0.20;0.80;0.14;0.00;0.86
1;ΑΓΙΟΣ ΠΑΥΛΟΣ;1η ΔΚ;23723;37988;0.03;0.28;0.62;0.06;0.49;0.51;0.69;0.19;0.13;0.99;0.01;0.01;0.74;0.25;0.44;0.33;0.23;0.73;0.23;0.03;0.85;0.07;0.07;0.21;0.18;0.01;0.01;0.00;0.60;0.01;0.59;0.02;0.18;0.02;0.39;0.36;13.71;6.35;3.78;15.09;8.66;0.05;0.00;0.18;0.76;0.00;0.00;0.36;0.33;0.03;0.04;0.02;0.02;0.03;0.11;0.02;0.28;0.72;0.99;0.87;0.03;0.10;0.50;0.23;0.27;0.22;0.00;0.33;0.44;0.60;0.40;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.33;0.67;0.00
7;ΑΓΙΟΣ ΣΩΣΤΗΣ;2η ΔΚ;23719;37954;0.10;0.31;0.45;0.02;0.41;0.59;0.92;0.03;0.05;0.98;0.02;0.11;0.61;0.28;0.20;0.36;0.33;0.63;0.13;0.12;0.98;0.02;0.00;0.38;0.03;0.00;0.00;0.00;0.39;0.00;0.24;0.17;0.10;0.00;0.17;0.12;1.49;24.75;7.09;1.88;7.90;0.04;0.00;0.67;0.29;0.02;0.00;0.10;0.13;0.06;0.51;0.06;0.02;0.00;0.00;0.07;0.04;0.86;0.88;0.87;0.05;0.06;0.84;0.11;0.03;0.45;0.00;0.55;0.00;0.33;0.17;0.50;0.40;0.60;0.75;0.25;0.75;0.25;0.21;0.14;0.64
106;ΑΓΙΟΥ ΜΕΛΕΤΙΟΥ I;4η ΔΚ;23718;38003;0.00;0.79;0.19;0.01;0.28;0.72;0.72;0.09;0.19;1.00;0.00;0.01;0.82;0.16;0.72;0.21;0.05;0.79;0.20;0.00;0.89;0.05;0.06;0.43;0.43;0.00;0.01;0.00;0.29;0.00;0.89;0.12;0.07;0.00;0.19;0.51;0.00;1.36;2.70;16.09;7.35;0.02;0.00;0.15;0.83;0.00;0.00;0.51;0.39;0.03;0.05;0.01;0.00;0.00;0.00;0.00;0.79;0.21;0.99;0.91;0.00;0.03;0.59;0.15;0.19;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.33;0.67;1.00;0.00;1.00;0.00;0.00;0.40;0.60
104;ΑΓΙΟΥ ΜΕΛΕΤΙΟΥ II;6η ΔΚ;23726;38002;0.00;0.78;0.21;0.00;0.31;0.69;0.67;0.13;0.20;0.99;0.01;0.00;0.94;0.05;0.69;0.25;0.06;0.83;0.17;0.00;0.83;0.17;0.00;0.15;0.67;0.00;0.00;0.00;0.24;0.00;0.91;0.23;0.08;0.03;0.16;0.76;0.20;0.08;1.76;13.45;9.05;0.01;0.00;0.15;0.85;0.00;0.00;0.57;0.26;0.01;0.07;0.01;0.00;0.07;0.00;0.00;0.55;0.45;0.99;0.95;0.00;0.02;0.36;0.06;0.55;0.00;0.40;0.60;0.00;0.00;0.40;0.60;0.00;1.00;0.00;1.00;0.00;1.00;0.33;0.67;0.00
97;ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ Ι;4η ΔΚ;23707;37996;0.14;0.68;0.15;0.01;0.55;0.44;0.83;0.04;0.12;0.97;0.01;0.20;0.49;0.30;0.52;0.14;0.13;0.64;0.14;0.01;0.94;0.04;0.00;0.35;0.34;0.01;0.01;0.00;0.26;0.00;0.64;0.08;0.08;0.03;0.20;0.33;0.06;13.59;4.25;9.39;7.68;0.04;0.00;0.58;0.37;0.00;0.02;0.37;0.22;0.06;0.04;0.03;0.18;0.00;0.03;0.01;0.18;0.82;1.00;0.90;0.04;0.03;0.84;0.05;0.07;0.19;0.15;0.67;0.00;0.19;0.15;0.67;0.04;0.96;1.00;0.00;1.00;0.00;0.26;0.35;0.39
81;ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ ΙΙ;4η ΔΚ;23703;37993;0.10;0.60;0.19;0.07;0.89;0.07;0.94;0.03;0.00;0.96;0.01;0.41;0.14;0.42;0.17;0.13;0.26;0.44;0.08;0.04;0.92;0.00;0.05;0.24;0.07;0.02;0.00;0.00;0.45;0.00;0.36;0.04;0.22;0.05;0.21;0.06;0.00;4.10;2.81;4.92;8.00;0.00;0.00;0.77;0.22;0.00;0.03;0.10;0.20;0.12;0.05;0.16;0.19;0.00;0.06;0.09;0.00;1.00;1.00;0.96;0.00;0.03;0.96;0.02;0.01;0.15;0.15;0.69;0.00;0.15;0.15;0.69;0.20;0.80;1.00;0.00;0.71;0.29;0.27;0.18;0.55
107;ΑΛΕΠΟΤΡΥΠΑ;6η ΔΚ;23742;38006;0.03;0.34;0.44;0.19;0.20;0.80;0.71;0.18;0.10;1.00;0.00;0.03;0.76;0.21;0.48;0.40;0.09;0.51;0.42;0.03;0.99;0.01;0.00;0.34;0.22;0.00;0.02;0.02;0.46;0.05;0.73;0.37;0.14;0.01;0.43;0.57;0.00;12.36;1.91;4.05;7.41;0.00;0.04;0.17;0.78;0.04;0.01;0.66;0.24;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.67;0.93;0.00;0.00;0.91;0.01;0.01;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00
116;ΑΛΕΠΟΤΡΥΠΑ ΠΑΤΗΣΙΑ;5η ΔΚ;23741;38.01;0.03;0.23;0.66;0.04;0.10;0.87;0.95;0.01;0.00;0.96;0.01;0.05;0.52;0.40;0.52;0.32;0.08;0.69;0.21;0.02;0.96;0.00;0.00;0.65;0.08;0.00;0.00;0.00;0.71;0.00;0.58;0.14;0.23;0.00;0.47;0.40;0.16;1.43;3.81;4.01;8.47;0.03;0.01;0.39;0.56;0.00;0.01;0.74;0.07;0.01;0.05;0.05;0.03;0.00;0.00;0.00;1.00;0.00;0.00;0.90;0.02;0.00;0.87;0.05;0.00;0.25;0.00;0.75;0.00;0.25;0.00;0.75;0.00;1.00;0.33;0.67;1.00;0.00;0.33;0.67;0.00
55;ΑΛΣΟΣ ΓΟΥΔΗ  ΦΥΤΩΡΙΟ ΔΗΜΟΥ ΑΘΗΝΑΙΩΝ;7η ΔΚ;23779;37986;0.09;0.00;0.00;0.00;0.19;0.00;0.19;0.00;0.00;0.19;0.00;0.00;0.09;0.00;0.00;0.00;0.09;0.00;0.00;0.09;0.10;0.09;0.00;0.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30.00;3.33;33.33;11.00;0.00;0.00;0.33;0.08;0.00;0.00;0.07;0.00;0.01;0.04;0.00;0.00;0.00;0.00;0.29;;;;1.00;0.00;0.00;1.00;0.00;0.00;0.08;0.17;0.75;0.00;0.18;0.00;0.82;0.00;1.00;1.00;0.00;0.67;0.33;0.11;0.89;0.00
117;ΑΛΥΣΙΔΑ;5η ΔΚ;23736;38026;0.14;0.04;0.69;0.06;0.25;0.68;0.85;0.06;0.01;0.93;0.00;0.03;0.46;0.44;0.20;0.43;0.26;0.41;0.39;0.10;0.86;0.07;0.01;0.51;0.01;0.00;0.00;0.00;0.40;0.01;0.40;0.07;0.09;0.00;0.11;0.17;0.00;14.44;6.89;12.96;6.96;0.12;0.00;0.50;0.37;0.00;0.07;0.31;0.22;0.05;0.16;0.03;0.04;0.00;0.00;0.00;0.25;0.75;0.95;0.90;0.03;0.05;0.65;0.18;0.17;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.33;0.67;1.00;0.00;1.00;0.00;0.00;0.00;1.00
102;ΑΜΕΡΙΚΗΣ;6η ΔΚ;23731;38002;0.01;0.57;0.41;0.01;0.19;0.81;0.72;0.16;0.11;0.99;0.01;0.01;0.84;0.16;0.34;0.41;0.25;0.61;0.15;0.23;0.92;0.07;0.00;0.24;0.28;0.02;0.01;0.00;0.29;0.00;0.44;0.30;0.16;0.00;0.04;0.42;5.67;4.60;3.51;11.28;8.37;0.06;0.00;0.14;0.80;0.00;0.00;0.65;0.07;0.01;0.08;0.00;0.00;0.07;0.02;0.05;0.08;0.92;0.96;0.94;0.01;0.04;0.51;0.02;0.42;0.07;0.13;0.80;0.00;0.07;0.13;0.80;0.00;1.00;0.50;0.50;0.09;0.91;0.27;0.18;0.55
62;ΑΜΠΕΛΟΚΗΠΟΙ Ι;7η ΔΚ;23761;37989;0.05;0.33;0.50;0.13;0.26;0.74;0.79;0.15;0.05;0.92;0.08;0.00;0.65;0.35;0.42;0.41;0.17;0.60;0.24;0.16;0.92;0.04;0.04;0.38;0.17;0.00;0.01;0.00;0.55;0.00;0.52;0.31;0.34;0.01;0.10;0.33;0.00;6.31;5.46;12.19;9.85;0.00;0.00;0.46;0.53;0.00;0.00;0.37;0.09;0.01;0.05;0.05;0.03;0.00;0.00;0.39;0.20;0.80;0.95;0.86;0.11;0.03;0.48;0.18;0.33;0.10;0.00;0.90;0.00;0.10;0.00;0.90;0.33;0.67;1.00;0.00;0.33;0.67;0.00;0.18;0.82
66;ΑΜΠΕΛΟΚΗΠΟΙ ΙΙ;7η ΔΚ;23764;37992;0.05;0.42;0.39;0.14;0.35;0.65;0.79;0.13;0.07;0.95;0.05;0.01;0.64;0.36;0.53;0.32;0.15;0.68;0.09;0.22;0.90;0.09;0.01;0.35;0.19;0.01;0.02;0.00;0.49;0.00;0.58;0.17;0.33;0.02;0.16;0.29;0.20;5.26;2.91;17.11;9.16;0.01;0.00;0.30;0.69;0.00;0.00;0.52;0.16;0.03;0.02;0.08;0.00;0.00;0.00;0.19;0.11;0.89;0.98;0.91;0.07;0.01;0.64;0.12;0.23;0.10;0.00;0.90;0.00;0.10;0.00;0.90;0.00;1.00;0.60;0.40;0.14;0.86;0.00;0.67;0.33
79;ΑΝΩ ΑΜΠΕΛΟΚΗΠΟΙ;7η ΔΚ;23764;37995;0.08;0.10;0.49;0.32;0.39;0.61;0.91;0.07;0.02;0.92;0.08;0.03;0.47;0.50;0.59;0.22;0.17;0.71;0.23;0.04;0.98;0.02;0.00;0.48;0.06;0.01;0.00;0.00;0.30;0.00;0.61;0.11;0.07;0.02;0.16;0.06;0.00;6.97;3.96;10.31;8.51;0.02;0.01;0.47;0.49;0.01;0.00;0.34;0.23;0.01;0.00;0.14;0.06;0.00;0.00;0.17;0.18;0.82;0.86;0.87;0.03;0.04;0.81;0.06;0.07;0.25;0.00;0.75;0.00;0.25;0.00;0.75;0.33;0.67;0.71;0.29;1.00;0.00;0.08;0.46;0.46
122;ΑΝΩ ΠΑΤΗΣΙΑ;5η ΔΚ;23734;38021;0.04;0.09;0.72;0.15;0.20;0.80;0.91;0.06;0.02;0.93;0.07;0.00;0.48;0.51;0.35;0.33;0.32;0.48;0.35;0.16;0.87;0.13;0.00;0.47;0.05;0.00;0.00;0.00;0.40;0.00;0.55;0.27;0.09;0.00;0.03;0.02;0.00;7.55;5.60;8.94;8.11;0.05;0.00;0.35;0.60;0.00;0.00;0.45;0.18;0.01;0.06;0.00;0.01;0.16;0.00;0.07;0.02;0.98;0.97;0.84;0.00;0.16;0.37;0.18;0.42;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.33;0.67;0.00;0.00;1.00
88;ΑΡΙΣΤΟΤΕΛΟΥΣ;6η ΔΚ;23.73;37998;0.00;0.53;0.46;0.00;0.41;0.59;0.56;0.05;0.39;1.00;0.00;0.00;0.95;0.05;0.35;0.41;0.24;0.67;0.29;0.04;0.72;0.18;0.10;0.34;0.27;0.00;0.01;0.00;0.19;0.00;0.55;0.09;0.08;0.01;0.14;0.45;0.85;6.97;4.74;28.80;9.42;0.07;0.00;0.20;0.72;0.00;0.00;0.33;0.23;0.02;0.15;0.00;0.00;0.07;0.00;0.12;0.57;0.43;0.98;0.62;0.11;0.13;0.35;0.07;0.43;0.17;0.33;0.50;0.00;0.14;0.00;0.86;0.00;1.00;0.20;0.80;0.00;1.00;0.00;0.57;0.43
31;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΚΡΟΠΟΛΗΣ ΦΙΛΟΠΑΠΠΟΥ;3η ΔΚ;23721;37.97;0.75;0.07;0.05;0.05;0.84;0.07;0.91;0.00;0.00;0.91;0.00;0.27;0.32;0.33;0.09;0.17;0.38;0.25;0.07;0.32;0.73;0.19;0.00;0.09;0.01;0.00;0.00;0.00;0.03;0.00;0.09;0.00;0.00;0.00;0.10;0.02;0.00;43.11;3.18;0.87;7.29;0.28;0.08;0.46;0.18;0.02;0.05;0.17;0.14;0.03;0.03;0.10;0.09;0.00;0.01;0.00;;;;0.54;0.00;0.00;0.52;0.01;0.00;;;;;;;;;;;;;;;;
112;ΑΤΤΙΚΟ ΑΛΣΟΣ;7η ΔΚ;23756;38003;0.42;0.08;0.23;0.11;0.55;0.29;0.84;0.00;0.00;0.84;0.00;0.18;0.02;0.64;0.20;0.44;0.02;0.31;0.33;0.02;0.84;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.64;0.00;0.53;0.00;0.32;0.00;0.13;0.00;0.00;4.29;6.29;0.00;5.60;0.00;0.11;0.69;0.20;0.00;0.07;0.23;0.00;0.06;0.01;0.19;0.24;0.08;0.00;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00
21;ΒΑΡΝΑΒΑ;2η ΔΚ;23743;37965;0.02;0.39;0.54;0.06;0.20;0.80;0.92;0.08;0.00;0.97;0.03;0.04;0.40;0.56;0.25;0.49;0.22;0.65;0.16;0.15;0.86;0.12;0.03;0.22;0.22;0.00;0.01;0.00;0.65;0.00;0.17;0.12;0.24;0.01;0.38;0.24;0.18;2.61;4.27;10.61;7.92;0.01;0.01;0.33;0.63;0.03;0.01;0.47;0.12;0.02;0.14;0.00;0.07;0.09;0.00;0.02;0.10;0.90;0.63;0.84;0.05;0.09;0.72;0.04;0.21;0.45;0.00;0.55;0.00;0.33;0.17;0.50;0.17;0.83;0.56;0.44;1.00;0.00;0.23;0.31;0.46
20;ΒΕΪΚΟΥ;1η ΔΚ;23724;37965;0.01;0.25;0.58;0.16;0.48;0.52;0.86;0.13;0.01;0.96;0.04;0.00;0.71;0.28;0.28;0.45;0.27;0.51;0.26;0.22;0.82;0.14;0.03;0.15;0.14;0.00;0.00;0.00;0.19;0.00;0.21;0.07;0.06;0.00;0.28;0.22;10.00;7.07;3.21;22.73;9.94;0.05;0.02;0.23;0.70;0.01;0.00;0.50;0.16;0.01;0.13;0.04;0.00;0.00;0.02;0.06;0.05;0.95;0.99;0.88;0.02;0.01;0.44;0.13;0.35;0.00;0.25;0.75;0.00;0.00;0.40;0.60;0.00;1.00;0.71;0.29;0.33;0.67;0.08;0.46;0.46
36;ΒΟΥΛΗ;1η ΔΚ;23737;37975;0.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.76;0.24;0.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;29.00;45.00;13.27;0.05;0.00;0.46;0.49;0.00;0.00;0.00;0.00;0.08;0.00;0.00;0.05;0.00;0.04;0.78;0.00;1.00;1.00;0.00;1.00;0.00;0.40;0.44;0.16;;;;;;;;;;;;;;;;
19;ΒΡΑΤΡΑΧΟΝΗΣΙ;2η ΔΚ;23746;37972;0.05;0.30;0.41;0.14;0.39;0.60;0.93;0.05;0.01;0.93;0.06;0.03;0.47;0.40;0.15;0.37;0.36;0.37;0.29;0.21;0.77;0.16;0.05;0.10;0.14;0.04;0.00;0.00;0.41;0.00;0.17;0.14;0.14;0.04;0.28;0.19;0.00;4.38;3.63;17.91;7.87;0.03;0.02;0.41;0.55;0.00;0.00;0.38;0.15;0.00;0.22;0.00;0.00;0.00;0.00;0.20;0.07;0.93;0.73;0.78;0.09;0.13;0.68;0.12;0.20;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;0.11;0.89;0.25;0.75;0.00;0.50;0.50
101;ΓΗΡΟΚΟΜΕΙΟ;7η ΔΚ;23765;38;0.08;0.12;0.69;0.11;0.25;0.75;0.92;0.06;0.01;0.99;0.01;0.02;0.30;0.68;0.56;0.28;0.14;0.80;0.12;0.06;0.97;0.03;0.00;0.79;0.04;0.00;0.01;0.00;0.74;0.00;0.66;0.17;0.15;0.02;0.30;0.27;0.10;4.45;8.82;4.53;7.99;0.02;0.01;0.45;0.52;0.01;0.00;0.47;0.16;0.02;0.04;0.05;0.14;0.00;0.01;0.08;0.04;0.96;0.88;0.85;0.02;0.07;0.88;0.04;0.03;0.13;0.35;0.52;0.00;0.17;0.08;0.75;0.10;0.90;1.00;0.00;0.83;0.17;0.04;0.48;0.48
34;ΓΚΑΖΟΧΩΡΙ I;3η ΔΚ;23709;37976;0.15;0.45;0.21;0.14;0.66;0.29;0.90;0.01;0.04;0.81;0.13;0.06;0.59;0.30;0.34;0.30;0.24;0.64;0.12;0.12;0.94;0.01;0.00;0.23;0.05;0.00;0.00;0.00;0.38;0.04;0.41;0.08;0.08;0.04;0.13;0.20;4.62;19.01;3.47;10.58;7.51;0.04;0.00;0.48;0.46;0.04;0.00;0.17;0.24;0.09;0.03;0.00;0.26;0.00;0.01;0.10;0.26;0.74;0.95;0.83;0.01;0.07;0.67;0.20;0.04;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.67;0.33
41;ΓΚΑΖΟΧΩΡΙ II;3η ΔΚ;23713;37978;0.46;0.30;0.25;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.03;0.19;0.79;0.29;0.35;0.33;0.04;0.37;0.56;0.55;0.34;0.11;0.21;0.12;0.09;0.00;0.00;0.31;0.00;0.66;0.00;0.19;0.00;0.13;0.00;0.00;32.00;4.87;42.00;5.77;0.08;0.00;0.23;0.69;0.12;0.00;0.23;0.28;0.14;0.00;0.00;0.12;0.00;0.00;0.03;0.57;0.43;0.89;0.30;0.00;0.01;0.10;0.13;0.08;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;1.00
3;ΓΚΡΑΒΑ;5η ΔΚ;23742;38014;0.06;0.10;0.72;0.11;0.37;0.63;0.91;0.05;0.03;0.99;0.00;0.03;0.46;0.50;0.37;0.43;0.16;0.60;0.23;0.11;0.98;0.02;0.00;0.56;0.11;0.00;0.00;0.00;0.69;0.00;0.69;0.11;0.12;0.05;0.23;0.26;0.00;2.86;5.56;5.91;7.10;0.03;0.00;0.71;0.26;0.00;0.01;0.45;0.08;0.01;0.12;0.06;0.24;0.00;0.00;0.00;0.40;0.60;0.80;0.77;0.12;0.05;0.70;0.09;0.15;0.10;0.00;0.90;0.00;0.10;0.00;0.90;0.33;0.67;0.60;0.40;0.60;0.40;0.00;1.00;0.00
69;ΓΚΥΖΗ;7η ΔΚ;23751;37991;0.04;0.21;0.59;0.14;0.26;0.72;0.85;0.07;0.06;0.95;0.04;0.07;0.52;0.39;0.50;0.22;0.19;0.62;0.21;0.09;0.95;0.02;0.01;0.19;0.14;0.00;0.01;0.00;0.29;0.00;0.41;0.05;0.04;0.01;0.44;0.19;0.76;15.76;2.91;7.85;7.85;0.01;0.06;0.35;0.58;0.02;0.00;0.39;0.17;0.03;0.09;0.01;0.01;0.02;0.00;0.18;0.15;0.85;0.81;0.79;0.04;0.01;0.68;0.06;0.10;0.63;0.00;0.38;0.00;0.63;0.00;0.38;0.09;0.91;0.50;0.50;0.71;0.29;0.00;0.77;0.23
10;ΓΟΥΒΑ Ι;2η ΔΚ;23741;37958;0.09;0.54;0.36;0.00;0.29;0.71;0.85;0.09;0.06;0.95;0.05;0.00;0.84;0.16;0.73;0.11;0.16;0.71;0.19;0.10;0.90;0.10;0.00;0.30;0.25;0.00;0.01;0.00;0.25;0.00;0.66;0.09;0.16;0.00;0.11;0.59;0.52;16.87;2.99;18.26;6.93;0.06;0.00;0.12;0.82;0.00;0.00;0.34;0.44;0.01;0.06;0.00;0.01;0.03;0.00;0.05;0.22;0.78;0.77;0.85;0.00;0.02;0.51;0.11;0.26;0.50;0.00;0.50;0.00;0.50;0.00;0.50;0.60;0.40;1.00;0.00;1.00;0.00;0.60;0.40;0.00
16;ΓΟΥΒΑ ΙΙ;2η ΔΚ;23745;37958;0.00;0.85;0.15;0.00;0.05;0.95;0.97;0.03;0.01;0.98;0.02;0.00;0.65;0.35;0.93;0.05;0.02;0.94;0.06;0.01;0.96;0.04;0.00;0.44;0.66;0.00;0.00;0.00;0.55;0.00;0.97;0.08;0.27;0.00;0.41;0.80;0.00;1.99;1.48;15.39;6.65;0.00;0.01;0.38;0.62;0.00;0.00;0.20;0.68;0.03;0.08;0.00;0.00;0.00;0.00;0.00;0.40;0.60;1.00;0.98;0.00;0.01;0.82;0.08;0.09;;;;;;;;;;;;;;;;
14;ΔΟΥΡΓΟΥΤΙ Ι;2η ΔΚ;23724;37.96;0.08;0.28;0.50;0.13;0.67;0.33;0.93;0.05;0.02;1.00;0.00;0.08;0.52;0.39;0.13;0.39;0.42;0.47;0.32;0.14;1.00;0.00;0.00;0.08;0.04;0.00;0.00;0.00;0.18;0.00;0.09;0.02;0.02;0.01;0.05;0.07;0.16;30.49;4.72;3.16;9.55;0.08;0.00;0.39;0.53;0.00;0.00;0.21;0.12;0.12;0.08;0.06;0.10;0.00;0.04;0.19;0.22;0.78;0.97;0.71;0.00;0.08;0.60;0.10;0.11;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;0.25;0.75
9;ΔΟΥΡΓΟΥΤΙ ΙΙ;2η ΔΚ;23721;37957;0.05;0.34;0.38;0.08;0.44;0.56;0.86;0.06;0.08;0.99;0.01;0.00;0.66;0.34;0.24;0.48;0.28;0.74;0.06;0.15;0.88;0.08;0.03;0.34;0.04;0.01;0.00;0.00;0.56;0.00;0.27;0.20;0.12;0.00;0.14;0.14;0.45;2.57;3.96;0.00;7.79;0.06;0.00;0.68;0.26;0.00;0.00;0.13;0.16;0.09;0.33;0.08;0.05;0.00;0.02;0.08;0.07;0.80;0.89;0.81;0.05;0.09;0.83;0.06;0.08;0.10;0.00;0.90;0.00;0.10;0.00;0.90;0.14;0.86;1.00;0.00;0.33;0.67;0.00;0.00;1.00
52;ΕΛΑΙΩΝΑΣ;3η ΔΚ;23699;37983;0.07;0.70;0.18;0.03;0.94;0.04;0.95;0.02;0.01;0.98;0.00;0.59;0.08;0.31;0.10;0.07;0.21;0.22;0.16;0.00;0.97;0.00;0.01;0.12;0.00;0.01;0.02;0.00;0.28;0.01;0.23;0.03;0.10;0.10;0.25;0.01;0.16;2.70;2.35;2.22;8.35;0.02;0.00;0.87;0.09;0.00;0.01;0.11;0.08;0.13;0.05;0.06;0.33;0.01;0.04;0.14;0.17;0.83;0.86;0.92;0.01;0.04;0.86;0.09;0.02;0.23;0.14;0.63;0.00;0.22;0.10;0.67;0.05;0.95;1.00;0.00;0.93;0.07;0.34;0.34;0.32
