OBJECTID;stop_id;stop_code;stop_name;stop_desc;E1 Υπάρχει Στέγαστρο?;E2 Υπάρχει κάθισμα?;Ε3 Ορατότητα;Ε4 Εξοχή πεζοδρομίου;Ε5 Τηλεματική;Ε6 Καθαριότητα;Σταθμός ΜΕΤΡΟ
927;61324;61324;ΔΙΚΑΣΤΗΡΙΑ;Επί της ΠΡΙΓΚΙΠΟΝΝΗΣΩΝ;Όχι;Όχι;Κακή;Όχι;Όχι;Μέτρια;
928;61325;61325;ΑΦΕΤΗΡΙΑ;Επί της ΣΙΝΑ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Καλή;
929;61326;61326;ΡΟΣΙΝΙΟΛ;Επί της ΔΥΡΡΑΧΙΟΥ;Όχι;Όχι;Καλή;Όχι;Ναι;Μέτρια;
930;61328;61328;ΠΑΓΚΡΑΤΙ;Επί της ΦΙΛΟΛΑΟΥ;Ναι, κακή κατάσταση;Ναι, καλή κατάσταση;Κακή;Όχι;Όχι;Μέτρια;
931;61329;61329;ΣΤΡΑΤΙΩΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ;Επί της ΛΕΩΦ.ΠΑΝ.ΚΑΝΕΛΛΟΠΟΥΛΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Μέτρια;
932;61335;61335;ΕΟΤ;Επί της ΑΜΕΡΙΚΗΣ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
933;61341;61341;ΤΕΡΜΑ;Επί της ΤΣΟΥΝΤΑ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Μέτρια;
934;61343;61343;ΚΑΝΑΡΗ;Επί της ΣΟΛΩΝΟΣ;Όχι;Όχι;Καλή;Όχι;Όχι;Μέτρια;
935;61344;61344;ΛΑΟΥ;Επί της ΚΟΛΟΚΥΝΘΟΥΣ;Στοά, χωρίς στέγαστρο;Όχι;Καλή;Όχι;Όχι;Κακή;
936;61345;61345;ΙΚΑ;Επί της ΑΛΚΜΗΝΗΣ;Όχι;Όχι;Καλή;Ναι;Όχι;Κακή;
937;61348;61348;2η ΡΙΖΟΥΠΟΛΕΩΣ;Επί της ΕΡΜΩΝΑΣΣΗΣ;Όχι;Όχι;Καλή;Όχι;Όχι;Καλή;
938;61350;61350;ΠΟΛΥΤΕΧΝΕΙΟ;Επί της 3ης ΣΕΠΤΕΜΒΡΙΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Μέτρια;
